stock,horizon,target_threshold,best_threshold,test_positive_rate,signal_rate,precision,recall,f1,balanced_accuracy,accuracy,proba_mean,proba_std,proba_min,proba_max,n_test,n_signals,error
MSFT,60,0.05,0.5999999999999999,0.165,0.16,0.09375,0.09090909090909091,0.09230769230769231,0.45862819814915623,0.705,0.617552514330078,0.13931812782139288,0.2591581441949746,0.9035787926237124,200,32,
MSFT,60,0.07,0.5999999999999999,0.115,0.125,0.0,0.0,0.0,0.4293785310734463,0.76,0.5070174520288773,0.16556879727570256,0.15102221951086142,0.8347870873812668,200,25,
NVDA,10,0.02,0.49999999999999994,0.465,0.04,0.875,0.07526881720430108,0.13861386138613863,0.5329615114058889,0.565,0.5092818737012093,0.10874734003429717,0.24594102723550842,0.7427647902929021,200,8,
NVDA,10,0.03,0.49999999999999994,0.44,0.01,0.5,0.011363636363636364,0.022222222222222223,0.5012175324675325,0.56,0.4825301386137751,0.09120522716006527,0.23066632242595758,0.6852277670374285,200,2,
NVDA,10,0.05,0.39999999999999997,0.335,0.015,0.0,0.0,0.0,0.48872180451127817,0.65,0.40154121270549853,0.10648762068675333,0.14876875925409744,0.6409669124897703,200,3,
NVDA,10,0.07,0.3,0.275,0.0,0.0,0.0,0.0,0.5,0.725,0.33481243331373295,0.10435421155007303,0.14184529463196227,0.5785417141414015,200,0,
NVDA,20,0.02,0.49999999999999994,0.515,0.105,0.2857142857142857,0.05825242718446602,0.0967741935483871,0.451806625963367,0.44,0.5766944725900462,0.11751498770087873,0.29144139245652334,0.8186489648932231,200,21,
NVDA,20,0.03,0.44999999999999996,0.49,0.04,0.0,0.0,0.0,0.46078431372549017,0.47,0.5236973785090616,0.10495317867325306,0.3112534879374153,0.7663811672476295,200,8,
NVDA,20,0.05,0.3,0.43,0.0,0.0,0.0,0.0,0.5,0.57,0.4477228728238974,0.11717702199004051,0.19365714254943595,0.7517243220669728,200,0,
NVDA,20,0.07,0.35,0.375,0.0,0.0,0.0,0.0,0.5,0.625,0.41202524826815773,0.15901250602775033,0.08336860811786968,0.7567849963029538,200,0,
NVDA,30,0.02,0.3,0.47,0.0,0.0,0.0,0.0,0.5,0.53,0.5352430939961083,0.18100691209030867,0.23155341000556953,0.9134407749098181,200,0,
NVDA,30,0.03,0.3,0.455,0.0,0.0,0.0,0.0,0.5,0.545,0.6087050619403546,0.21081716161507516,0.2054633073397509,0.9428651142550625,200,0,
NVDA,30,0.05,0.3,0.435,0.0,0.0,0.0,0.0,0.5,0.565,0.6088754874412069,0.21963622069387023,0.11903296627257057,0.9612296984873124,200,0,
NVDA,30,0.07,0.3,0.4,0.0,0.0,0.0,0.0,0.5,0.6,0.5520452440078129,0.19598483998922292,0.1276362435533036,0.9390559381781878,200,0,
NVDA,45,0.02,0.5999999999999999,0.52,0.055,0.18181818181818182,0.019230769230769232,0.034782608695652174,0.46274038461538464,0.445,0.6708856276319836,0.1825392708199767,0.08549189410410309,0.9602364698364338,200,11,
NVDA,45,0.03,0.44999999999999996,0.52,0.015,0.6666666666666666,0.019230769230769232,0.037383177570093455,0.5044070512820513,0.485,0.6569278206587742,0.2041796629956779,0.0796414166656436,0.9703325135087256,200,3,
NVDA,45,0.05,0.44999999999999996,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.6005513554744405,0.25211468627307243,0.03716562322078273,0.9752631714433723,200,0,
NVDA,45,0.07,0.3,0.485,0.06,0.0,0.0,0.0,0.441747572815534,0.455,0.6369118804078294,0.19814034476838938,0.0523488814724262,0.9095610191712725,200,12,
NVDA,60,0.02,0.49999999999999994,0.565,0.075,0.5333333333333333,0.07079646017699115,0.125,0.4951683450310243,0.44,0.5790816355180461,0.2549678833957822,0.014587334517583246,0.9069309691368967,200,15,
NVDA,60,0.03,0.3,0.565,0.12,0.16666666666666666,0.035398230088495575,0.058394160583941604,0.40275658630861555,0.355,0.5939279624185965,0.26910703972326677,0.0021831186643660274,0.9061472666457856,200,24,
NVDA,60,0.05,0.3,0.555,0.115,0.17391304347826086,0.036036036036036036,0.05970149253731343,0.41127644498431015,0.37,0.5936643423304655,0.2829048014755187,0.008407541249197363,0.9169064381416864,200,23,
NVDA,60,0.07,0.3,0.54,0.06,0.25,0.027777777777777776,0.05,0.46497584541062803,0.43,0.5526586794026226,0.2655550105613981,0.007485729676294658,0.9275558561663686,200,12,
AMZN,10,0.02,0.44999999999999996,0.425,0.0,0.0,0.0,0.0,0.5,0.575,0.270121870842672,0.10323947217896567,0.08243363852792605,0.5432080420198745,200,0,
AMZN,10,0.03,0.44999999999999996,0.38,0.0,0.0,0.0,0.0,0.5,0.62,0.24256051925283323,0.10625473424755565,0.06476149213211596,0.5484748971711212,200,0,
AMZN,10,0.05,0.35,0.255,0.0,0.0,0.0,0.0,0.5,0.745,0.17501631259704972,0.05923046728578313,0.058054930817207036,0.37320200323773184,200,0,
AMZN,10,0.07,0.35,0.16,0.0,0.0,0.0,0.0,0.5,0.84,0.10724292882650185,0.0682862597974406,0.023043037955006958,0.3954196063438273,200,0,
AMZN,20,0.02,0.35,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.3321905166784671,0.16754175343048325,0.06495437420296758,0.6898286545258817,200,0,
