stock,model,horizon,threshold,n_samples,target_rate,accuracy,balanced_accuracy,note
AAPL,xgb,45,0.03,1245,0.3397590361445783,0.4457831325301205,0.3261068978436971,
AMZN,rf,90,0.07,1200,0.18666666666666668,0.6916666666666667,0.3254901960784314,
MSFT,xgb,90,0.07,1200,0.49833333333333335,0.7083333333333334,0.325407787424362,
AMZN,xgb,45,0.1,1245,0.15100401606425704,0.4779116465863454,0.3247777777777778,
AAPL,knn,90,0.07,1200,0.51,0.5333333333333333,0.3241434968239092,
MSFT,rf,90,0.03,1200,0.5383333333333333,0.8166666666666667,0.3234323432343234,
MSFT,knn,20,0.07,1270,0.14251968503937007,0.5275590551181102,0.32282719836400814,
AMZN,rf,60,0.07,1230,0.18943089430894308,0.524390243902439,0.3219140410151646,
AMZN,rf,60,0.03,1230,0.26097560975609757,0.6788617886178862,0.3217726396917148,
AAPL,xgb,45,0.07,1245,0.3469879518072289,0.42570281124497994,0.32175925925925924,
MSFT,rf,90,0.07,1200,0.49833333333333335,0.7083333333333334,0.32129702709813207,
AMZN,xgb,45,0.05,1245,0.18795180722891566,0.5742971887550201,0.3202625570776256,
MSFT,knn,90,0.03,1200,0.5383333333333333,0.8083333333333333,0.3201320132013201,
MSFT,xgb,90,0.03,1200,0.5383333333333333,0.8083333333333333,0.3201320132013201,
MSFT,xgb,60,0.07,1230,0.38943089430894307,0.5691056910569106,0.3200173686495875,
AMZN,logreg,90,0.1,1200,0.15833333333333333,0.5291666666666667,0.31932454944722094,
